name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Laos,4.05306E+11,0.000696,58292,0.76,0.09,0,0.66,0.24,4531276,7.92%,6845846,0.66,0.01%,554461930,5330918,5247934,8732,24000,,2016,Tons ,15268,82984,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,18000,0,0,,2016,Barrels,0,-18000
Ireland,6.3861E+11,0.001097,134352,0.87,0.5,0.31,0.07,0.13,39086565,5.09%,4695779,8.32,0.11%,15432340,0,2474686,2107617,11326,2096291,2016,Tons ,,-2474686,350000,4662,153762,149524,0,149524,2015,Million Cubic Ft,,-149100,0,283,152404,64377,0,64377,2016,Barrels,,-152121
Libya,5.71901E+11,0.000982,86906,1,0.71,0.29,0,0,52696075,1.52%,6492162,8.12,0.15%,0,0,0,0,0,,2016,Tons ,,0,53183000,591526,158564,0,251090,,2015,Million Cubic Ft,251090,432962,48363000000,499397,223000,0,238501,,2016,Barrels,238501,276397
Azerbaijan,5.94083E+11,0.00102,60342,0.98,0.33,0.64,0,0.02,33614235,-0.41%,9736043,3.45,0.09%,0,0,178,178,0,178,2016,Tons ,,-178,35000000,963746,384227,7063,258506,,2015,Million Cubic Ft,251443,579519,7000000000,843546,96000,3948,658577,,2016,Barrels,654629,747546
Ecuador,7.14684E+11,0.001227,42578,0.74,0.71,0.02,0,0.26,40065690,-4.85%,16491116,2.43,0.11%,26455440,0,13555,14113,0,14113,2016,Tons ,,-13555,212000,59223,17552,0,0,,2015,Million Cubic Ft,0,41672,8273000000,548379,259000,0,414675,,2016,Barrels,414675,289379
Morocco,8.19434E+11,0.001407,23030,0.92,0.7,0.06,0.17,0.08,57694464,0.54%,35126283,1.64,0.16%,15432340,0,7153992,7410681,0,7410681,2016,Tons ,,-7153992,51000,4026,42978,39800,0,39800,2015,Million Cubic Ft,,-38952,684000,160,275000,67713,0,67713,2016,Barrels,,-274840
Bulgaria,7.74428E+11,0.00133,109037,0.74,0.25,0.16,0.33,0.26,50872910,-6.00%,7151953,7.11,0.14%,2608065460,34426244,35234237,867423,46411,821012,2016,Tons ,,-807993,200000,3685,111291,108044,0,108044,2015,Million Cubic Ft,,-107606,15000000,5339,97000,125642,0,125642,2016,Barrels,,-91661
Slovakia,7.26429E+11,0.001247,133341,0.66,0.24,0.24,0.18,0.34,36817242,1.74%,5442003,6.77,0.10%,148811850,2035967,6708667,4526820,0,4526820,2016,Tons ,,-4672700,500000,3496,163826,155633,0,155633,2015,Million Cubic Ft,,-160330,9000000,12541,81587,117296,141,117155,2016,Barrels,,-69046
Denmark,7.37324E+11,0.001266,128627,0.7,0.44,0.17,0.08,0.3,38007645,5.23%,5711349,6.65,0.11%,0,0,3985953,3181267,23149,3158118,2016,Tons ,,-3985953,1210000,166440,112867,23237,77410,,2015,Million Cubic Ft,54173,53573,551000000,145674,158194,77224,78070,,2016,Barrels,846,-12520
New Zealand,9.02498E+11,0.00155,191938,0.64,0.38,0.21,0.05,0.36,33276202,-0.14%,4659265,7.14,0.09%,8349998250,3159906,2765590,499657,1308589,,2016,Tons ,808931,394316,1361000,181448,178694,0,0,,2015,Million Cubic Ft,0,2755,64100000,43907,166913,108214,31474,76740,2016,Barrels,,-123006
Trinidad and Tobago,9.03829E+11,0.001552,653028,1,0.13,0.87,0,0,34974263,-5.92%,1377560,25.39,0.10%,0,0,198,198,0,198,2016,Tons ,,-198,12240000,1481288,841804,0,546818,,2015,Million Cubic Ft,546818,639484,728300000,97726,57000,54579,23196,31383,2016,Barrels,,40726
Serbia,6.42181E+11,0.001103,72730,0.83,0.19,0.15,0.5,0.17,41168059,2.27%,8853963,4.65,0.12%,8282757340,42372796,43189608,567654,72752,494901,2016,Tons ,,-816812,1700000,22248,76987,55798,0,55798,2015,Million Cubic Ft,,-54738,77500000,23150,74000,44283,0,44283,2016,Barrels,,-50850
Bahrain,7.19865E+11,0.001236,481813,1,0.18,0.82,0,0,24458384,2.50%,1425792,17.15,0.07%,0,0,0,0,0,,2016,Tons ,,0,3250000,727489,547383,0,0,,2015,Million Cubic Ft,0,180107,124560000,63886,62000,212417,154691,57726,2016,Barrels,,1886
Israel,1.05481E+12,0.0018112,127951,1,0.46,0.34,0.19,0,65201588,-0.38%,8108985,8.04,0.18%,0,0,10167720,9694828,0,9694828,2016,Tons ,,-10167720,7027000,333020,305828,5650,0,5650,2015,Million Cubic Ft,,27193,13953000,5977,236249,217657,0,217657,2016,Barrels,,-230272
Hungary,1.04225E+12,0.0017897,107119,0.78,0.33,0.36,0.1,0.22,51018899,2.16%,9752975,5.23,0.14%,3206619790,10158889,11663542,1721808,232587,1489221,2016,Tons ,,-1504653,304000,62578,332950,239789,19247,220542,2015,Million Cubic Ft,,-270372,28600000,36018,155544,121061,1148,119913,2016,Barrels,,-119525
Belarus,9.61313E+11,0.001651,101724,0.98,0.29,0.67,0.01,0.02,62655669,4.90%,9445643,6.63,0.18%,0,0,681228,781246,40317,740928,2016,Tons ,,-681228,100000,8440,612009,610950,0,610950,2015,Million Cubic Ft,,-603569,198000000,32584,137000,370157,32332,337825,2016,Barrels,,-104416
Hong Kong,1.32209E+12,0.0022702,180951,0.97,0.67,0.09,0.2,0.03,47066386,1.23%,7243542,6.5,0.13%,0,0,12303073,12303073,0,12303073,2016,Tons ,,-12303073,0,0,114527,114527,0,114527,2015,Million Cubic Ft,,-114527,0,100,408491,0,0,,2016,Barrels,0,-408391
Greece,1.16172E+12,0.0019948,109913,0.87,0.54,0.16,0.17,0.13,67840662,-3.47%,10615185,6.39,0.19%,3170243560,35977194,38077094,343921,0,343921,2016,Tons ,,-2099901,35000,141,110818,111666,0,111666,2015,Million Cubic Ft,,-110677,10000000,15748,296101,472485,3141,469344,2016,Barrels,,-280353
Oman,1.14075E+12,0.0019588,244485,1,0.3,0.69,0,0,87835773,2.09%,4479219,19.61,0.25%,0,0,94990,94990,0,94990,2016,Tons ,,-94990,24910000,1335613,774105,70277,353150,,2015,Million Cubic Ft,282873,561509,5306000000,1015512,183000,0,887500,,2016,Barrels,887500,832512
Portugal,1.07712E+12,0.0018496,104691,0.82,0.47,0.22,0.12,0.18,50142844,-2.36%,10325538,4.86,0.14%,39683160,0,5290177,5423748,0,5423748,2016,Tons ,,-5290177,0,0,168311,166440,0,166440,2015,Million Cubic Ft,,-168311,0,12932,236866,274442,0,274442,2016,Barrels,,-223934
Finland,1.22785E+12,0.0021084,222785,0.52,0.36,0.07,0.09,0.48,51183960,3.62%,5497713,9.31,0.14%,0,0,5310769,4305091,0,4305091,2016,Tons ,,-5310769,0,0,96269,95810,0,95810,2015,Million Cubic Ft,,-96269,0,12582,210030,226517,0,226517,2016,Barrels,,-197448
Peru,1.11852E+12,0.0019206,35572,0.74,0.45,0.28,0.01,0.26,57692879,8.16%,30926032,1.87,0.16%,112435620,493173,1267657,645315,148047,497268,2016,Tons ,,-774483,15047000,611656,275104,0,170571,,2015,Million Cubic Ft,170571,336552,682681000,141448,246000,107686,3471,104215,2016,Barrels,,-104552
Switzerland,1.17175E+12,0.002012,138573,0.51,0.39,0.11,0,0.49,39666930,-2.30%,8379917,4.73,0.11%,0,0,199518,199394,0,199394,2016,Tons ,,-199518,0,0,123920,123037,0,123037,2015,Million Cubic Ft,,-123920,0,1496,228194,59041,322,58719,2016,Barrels,,-226698
Nigeria,1.54026E+12,0.0026448,8070,0.97,0.55,0.41,0,0.03,82634214,0.70%,185960241,0.44,0.23%,379194640,50706,193330,469315,0,469315,2016,Tons ,,-142623,180490000,3009650,664628,0,929844,,2015,Million Cubic Ft,929844,2345022,37070000000,1938543,428000,0,1654739,,2016,Barrels,1654739,1510543
Austria,1.50163E+12,0.0025785,170255,0.66,0.37,0.23,0.06,0.34,73764112,1.54%,8747301,8.43,0.21%,0,0,3886745,3775836,0,3775836,2016,Tons ,,-3886745,301000,44603,295622,405381,190948,214433,2015,Million Cubic Ft,,-251019,45400000,29415,262352,147702,0,147702,2016,Barrels,,-232937
Chile,1.49614E+12,0.0025691,81002,0.79,0.48,0.13,0.19,0.21,81258525,5.33%,18209068,4.46,0.23%,1301828110,2783333,14077601,12925238,959500,11965738,2016,Tons ,,-11294268,3460000,38564,155103,131619,0,131619,2015,Million Cubic Ft,,-116540,150000000,12858,351989,157867,0,157867,2016,Barrels,,-339131
Romania,1.4114E+12,0.0024236,71812,0.75,0.3,0.29,0.15,0.25,78770824,1.69%,19796285,3.98,0.22%,320772210,25344312,26886239,1115001,14598,1100403,2016,Tons ,,-1541927,3725000,402591,387406,6004,0,6004,2015,Million Cubic Ft,,15185,600000000,96470,200000,149365,937,148428,2016,Barrels,,-103530
Bangladesh,1.41736E+12,0.0024338,8876,0.99,0.19,0.77,0.04,0.01,74476230,4.50%,157977153,0.47,0.21%,322976830,995386,2099900,3128923,0,3128923,2016,Tons ,,-1104514,8500000,948609,948609,0,0,,2015,Million Cubic Ft,0,0,28000000,4105,113000,23554,0,23554,2016,Barrels,,-108895
Uzbekistan,1.79825E+12,0.0030878,56266,0.96,0.06,0.86,0.04,0.04,109347340,1.60%,31441751,3.48,0.31%,1515676250,4793946,4770798,49605,60,49545,2016,Tons ,,23149,65000000,2037676,1700417,0,266628,,2015,Million Cubic Ft,266628,337258,594000000,71471,49000,3678,0,3678,2016,Barrels,,22471
Colombia,1.66078E+12,0.0028518,33956,0.72,0.41,0.2,0.11,0.28,77667594,-0.84%,48175052,1.61,0.22%,5380375110,99772271,11385457,454,91881474,,2016,Tons ,91881020,88386814,5508000,979285,406476,0,14126,,2015,Million Cubic Ft,14126,572809,2308000000,911892,357000,27118,744525,,2016,Barrels,717407,554892
Czech Republic,1.75129E+12,0.0030072,164579,0.81,0.25,0.18,0.38,0.19,111825428,1.39%,10618857,10.53,0.31%,4012408400,49949032,49418772,4077420,4815997,,2016,Tons ,738577,530261,140000,8723,277858,263944,0,263944,2015,Million Cubic Ft,,-269136,15000000,15586,179956,107227,564,106663,2016,Barrels,,-164370
Kuwait,1.59101E+12,0.002732,392251,1,0.49,0.5,0,0,101492225,1.36%,3956875,25.65,0.28%,0,0,387109,387109,0,387109,2016,Tons ,,-387109,63500000,604981,738401,141260,0,141260,2015,Million Cubic Ft,,-133420,1.015E+11,2990544,359000,0,2128190,,2016,Barrels,2128190,2631544
Turkmenistan,1.74751E+12,0.0030007,303509,1,0.17,0.83,0,0,79279216,0.63%,5662368,14,0.22%,0,0,0,0,0,,2016,Tons ,,0,265000000,2910380,1407727,0,1423195,,2015,Million Cubic Ft,1423195,1502653,600000000,266427,149000,0,68857,,2016,Barrels,68857,117427
Venezuela,2.49257E+12,0.0042801,84774,0.76,0.39,0.37,0,0.24,175884256,-1.90%,29851255,5.89,0.49%,805788610,825630,180696,36935,639340,,2016,Tons ,602404,644934,197087000,2832122,935953,17658,0,17658,2015,Million Cubic Ft,,1896168,2.99953E+11,2355424,598000,0,1725049,,2016,Barrels,1725049,1757424
Sweden,2.21871E+12,0.0038098,224001,0.34,0.3,0.01,0.03,0.66,44694415,4.33%,9836007,4.54,0.13%,1102310,0,2857191,3349995,0,3349995,2016,Tons ,,-2857191,0,0,34044,28676,0,28676,2015,Million Cubic Ft,,-34044,0,12411,322109,396510,0,396510,2016,Barrels,,-309698
Qatar,2.1595E+12,0.0037081,792557,1,0.27,0.72,0,0,98990085,1.79%,2654374,37.29,0.28%,0,0,0,0,0,,2016,Tons ,,0,871585000,6000937,1418356,0,4375175,,2015,Million Cubic Ft,4375175,4582580,25244000000,1987193,172000,0,503415,,2016,Barrels,503415,1815193
Iraq,1.86589E+12,0.003204,49687,0.97,0.92,0.05,0,0.03,162646160,1.22%,36610632,4.44,0.45%,0,0,0,0,0,,2016,Tons ,,0,111522000,885029,35386,0,0,,2015,Million Cubic Ft,0,849644,1.43069E+11,4443457,857000,1,3576637,,2016,Barrels,3576636,3586457
Philippines,1.83213E+12,0.003146,17420,0.88,0.47,0.06,0.36,0.12,126922662,12.37%,103663816,1.22,0.35%,348329960,13323621,22372484,22079269,7533187,14546083,2016,Tons ,,-9048863,3480000,108770,91819,0,0,,2015,Million Cubic Ft,0,16951,138500000,33258,429000,236907,14774,222133,2016,Barrels,,-395742
Algeria,2.39845E+12,0.0041184,57949,0.99,0.35,0.65,0,0.01,156220560,0.17%,40551392,3.85,0.44%,65036290,0,27321,27321,0,27321,2016,Tons ,,-27321,159054000,6491745,1399216,0,1533342,,2015,Million Cubic Ft,1533342,5092529,12200000000,1698786,429000,139,633800,,2016,Barrels,633661,1269786
Belgium,2.68469E+12,0.00461,235091,0.78,0.51,0.23,0.04,0.22,94722813,1.53%,11354420,8.34,0.26%,0,0,4035557,3872415,72752,3799663,2016,Tons ,,-4035557,0,0,605158,664381,59824,604557,2015,Million Cubic Ft,,-605158,0,24423,631522,641794,0,641794,2016,Barrels,,-607099
Norway,1.90137E+12,0.0032649,358999,0.32,0.23,0.08,0.01,0.68,43456012,0.85%,5250949,8.28,0.12%,1102310,901690,824528,727525,1005307,,2016,Tons ,277782,77162,72358000,5763408,184697,0,3954221,,2015,Million Cubic Ft,3954221,5578711,5138767000,2003748,204090,9927,1394501,,2016,Barrels,1384574,1799657
Pakistan,3.18344E+12,0.0054664,15312,0.87,0.37,0.43,0.07,0.13,178013820,9.13%,203631353,0.87,0.50%,3377477840,4506243,10199674,7107758,120,7107638,2016,Tons ,,-5693431,24700000,1454978,1436261,48382,0,48382,2015,Million Cubic Ft,,18717,353500000,88262,556000,140097,4896,135201,2016,Barrels,,-467738
Vietnam,3.24251E+12,0.0055678,34276,0.8,0.28,0.09,0.43,0.2,206042140,0.09%,93640422,2.2,0.58%,3703761600,42468697,56641097,14693792,1546342,13147450,2016,Tons ,,-14172400,24700000,365157,320660,0,0,,2015,Million Cubic Ft,0,44497,4400000000,313633,478000,8712,157615,,2016,Barrels,148903,-164367
Italy,6.77161E+12,0.0116277,111607,0.84,0.37,0.4,0.06,0.16,358139550,0.84%,60663060,5.9,1.00%,18739270,0,18787634,18418223,81080,18337143,2016,Tons ,,-18787634,1985000,239118,2384575,2163609,7805,2155804,2015,Million Cubic Ft,,-2145457,579232000,150147,1236628,1217209,16717,1200492,2016,Barrels,,-1086482
Indonesia,7.15869E+12,0.0122924,27050,0.96,0.45,0.23,0.28,0.04,530035650,6.41%,261556381,2.03,1.48%,24910001380,502653360,102623737,3929046,406630277,,2016,Tons ,402701230,400029623,103350000,3143035,1501241,0,1069691,,2015,Million Cubic Ft,1069691,1641794,3692500000,945637,1623000,398645,336816,61829,2016,Barrels,,-677363
United Kingdom,8.19085E+12,0.0140647,122751,0.8,0.39,0.36,0.05,0.2,367860350,-6.38%,66297944,5.55,1.03%,77000000,4605231,41459830,9362712,489094,8873619,2016,Tons ,,-36854599,8502000,1675238,2543775,1571623,502285,1069338,2015,Million Cubic Ft,,-868537,2754685000,1083928,1583896,797631,620188,177443,2016,Barrels,,-499968
Mexico,7.86885E+12,0.0135118,63063,0.92,0.5,0.36,0.06,0.08,441412750,-2.13%,123333376,3.58,1.23%,1334897410,13852746,22478332,9127352,2864,9124488,2016,Tons ,,-8625586,16549000,2336370,2756000,1287973,1095,1286879,2015,Million Cubic Ft,,-419630,9711000000,2484355,2052607,0,1236469,,2016,Barrels,1236469,431748
Saudi Arabia,1.09975E+13,0.019,332238,1,0.63,0.37,0,0,517079407,0.92%,32443447,15.94,1.45%,0,0,122987,123384,397,122987,2016,Tons ,,-122987,294205000,4231796,3614137,0,0,,2015,Million Cubic Ft,0,617659,2.66578E+11,12402761,3302000,1,7333557,,2016,Barrels,7333556,9100761
Brazil,1.25664E+13,0.022,60464,0.64,0.48,0.1,0.05,0.36,462994920,-6.08%,206163053,2.25,1.29%,7270836760,7721682,27275972,24291988,1706,24290282,2016,Tons ,,-19554290,16172000,1238144,1391058,670279,66,670213,2015,Million Cubic Ft,,-152914,16184100000,3242958,2984000,177352,832473,,2016,Barrels,655121,258958
France,1.02417E+13,0.018,157947,0.54,0.34,0.16,0.04,0.46,331533320,2.11%,64667596,5.13,0.93%,0,0,12900349,14325675,0,14325675,2016,Tons ,,-12900349,314000,742,1342959,1567386,191372,1376014,2015,Million Cubic Ft,,-1342217,78431000,133014,1705568,1092170,805,1091365,2016,Barrels,,-1572554
South Korea,1.26591E+13,0.022,247749,0.88,0.44,0.15,0.28,0.12,604043830,0.45%,50983457,11.85,1.69%,359353060,1902589,157124159,140976631,0,140976631,2016,Tons ,,-155221569,250000,6639,1565231,1533730,0,1533730,2015,Million Cubic Ft,,-1558592,0,108419,2605440,2946047,0,2946047,2016,Barrels,,-2497021
Iran,1.15993E+13,0.02,143780,0.98,0.31,0.67,0,0.02,642560030,2.22%,79563989,8.08,1.80%,1326078930,1395157,1472686,297737,224537,73200,2016,Tons ,,-77529,1201382000,9097956,6567636,337258,295940,41319,2015,Million Cubic Ft,,2530320,1.5753E+11,4376194,1803999,0,1896823,,2016,Barrels,1896823,2572195
Germany,1.40625E+13,0.024,170128,0.81,0.36,0.24,0.21,0.19,775752190,1.28%,82193768,9.44,2.17%,39802209480,193593194,257488593,63694779,306442,63388337,2016,Tons ,,-63895399,2048000,337258,2872840,3620388,1147949,2472438,2015,Million Cubic Ft,,-2535582,132480000,211888,2383393,1837305,2034,1835271,2016,Barrels,,-2171505
Canada,1.50621E+13,0.026,410054,0.68,0.33,0.31,0.04,0.32,675918610,-1.00%,36382944,18.58,1.89%,7255404420,67605855,42907417,6962137,33434695,,2016,Tons ,26472558,24698438,71794000,6751698,4053420,693092,2763505,,2015,Million Cubic Ft,2070413,2698278,1.70863E+11,4596725,2486301,891104,2749676,,2016,Barrels,1858572,2110424
Russia,3.28327E+13,0.056,225608,0.89,0.22,0.52,0.15,0.11,1661899300,-2.13%,145275383,11.44,4.65%,1.76771E+11,423095348,230392143,24331105,181506237,,2016,Tons ,157175131,192703205,1688228000,22728734,15538247,557977,6550933,,2015,Million Cubic Ft,5992956,7190487,80000000000,11262746,3631287,15047,5113524,,2016,Barrels,5098477,7631459
United States,9.76612E+13,0.168,300418,0.81,0.38,0.29,0.14,0.19,5011686600,-2.01%,323015995,15.52,14.02%,2.54197E+11,728364498,731071000,9849735,60271017,,2016,Tons ,50421282,-2706502,368704000,32914647,27243858,2718094,1783512,934582,2015,Million Cubic Ft,,5670789,35230000000,14837640,19687287,7850000,591000,7259000,2016,Barrels,,-4849647
Japan,1.94029E+13,0.033,152177,0.9,0.4,0.25,0.24,0.1,1239592060,-1.21%,127763265,9.7,3.47%,385808500,1353637,210559949,209164774,2626,209162148,2016,Tons ,,-209206313,738000,99836,4364157,4160849,0,4160849,2015,Million Cubic Ft,,-4264322,44115000,123525,4012877,3146668,0,3146668,2016,Barrels,,-3889352
India,3.04768E+13,0.052,22766,0.91,0.29,0.07,0.55,0.09,2533638100,4.71%,1324517249,1.91,7.09%,1.07727E+11,761662038,966288693,215789801,1018312,214771489,2016,Tons ,,-204626654,50398000,1133364,1753143,659331,9535,649796,2015,Million Cubic Ft,,-619778,4728790000,1016371,4443000,4255300,5,4255295,2016,Barrels,,-3426629
Antigua and Barbuda,10605278000,0.0000182,111136,0.97,0.97,0,0,0.03,438763,1.51%,94527,4.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,4038496,4.18%,10832518,0.37,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,41732,7.19%,17725,2.35,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,30262,1.52%,14429,2.1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,13128,2.62%,5956,2.2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
